"","x"
"corr[10]",0.00182086253293513
"corr[11]",-0.0630086622021132
"corr[12]",0.158811542625799
"corr[1]",0.325092399484769
"corr[2]",-0.000678704056813152
"corr[3]",-0.0881754063297738
"corr[4]",0.0641750327521108
"corr[5]",0.0308906764882543
"corr[6]",-0.141972456316734
"corr[7]",0.0142272711546626
"corr[8]",0.0538270537029763
"corr[9]",0.226818466209098
"cov[1,1,10]",0.00127406920829301
"cov[1,1,11]",0.00070325266828225
"cov[1,1,12]",0.00123930845315305
"cov[1,1,1]",0.00114698901821977
"cov[1,1,2]",0.00147548012853306
"cov[1,1,3]",0.00206669303324468
"cov[1,1,4]",0.00165324223623432
"cov[1,1,5]",0.00153428077661763
"cov[1,1,6]",0.000420083116851318
"cov[1,1,7]",0.00176947265880854
"cov[1,1,8]",0.000436115812578603
"cov[1,1,9]",0.000631049269306324
"cov[1,2,10]",4.76919507259321e-05
"cov[1,2,11]",5.5547956368414e-05
"cov[1,2,12]",0.000187227518800283
"cov[1,2,1]",0.000387194518326904
"cov[1,2,2]",0.000123739234725171
"cov[1,2,3]",-0.000150220303746114
"cov[1,2,4]",6.63575832392658e-05
"cov[1,2,5]",1.19280876953293e-05
"cov[1,2,6]",7.01746314386279e-06
"cov[1,2,7]",3.77427700073191e-05
"cov[1,2,8]",7.79045366329173e-05
"cov[1,2,9]",0.000272296487819656
"cov[2,1,10]",4.76919507259321e-05
"cov[2,1,11]",5.5547956368414e-05
"cov[2,1,12]",0.000187227518800283
"cov[2,1,1]",0.000387194518326904
"cov[2,1,2]",0.000123739234725171
"cov[2,1,3]",-0.000150220303746114
"cov[2,1,4]",6.63575832392658e-05
"cov[2,1,5]",1.19280876953293e-05
"cov[2,1,6]",7.01746314386279e-06
"cov[2,1,7]",3.77427700073191e-05
"cov[2,1,8]",7.79045366329173e-05
"cov[2,1,9]",0.000272296487819656
"cov[2,2,10]",0.00250952279139137
"cov[2,2,11]",0.00109578404793881
"cov[2,2,12]",0.00261241341144485
"cov[2,2,1]",0.00194618543842709
"cov[2,2,2]",0.0028263576185555
"cov[2,2,3]",0.00257624611611785
"cov[2,2,4]",0.00224880869106832
"cov[2,2,5]",0.00278782686262823
"cov[2,2,6]",0.00119352374107867
"cov[2,2,7]",0.00357973006585257
"cov[2,2,8]",0.00153174022545434
"cov[2,2,9]",0.00136430011131324
"muOfGaussian[1,1]",40.654901283778
"muOfGaussian[1,2]",-73.9593793171025
"muOfGaussian[10,1]",40.6981989774832
"muOfGaussian[10,2]",-73.8818005845374
"muOfGaussian[11,1]",40.7273067400082
"muOfGaussian[11,2]",-73.9386418270486
"muOfGaussian[12,1]",40.6582693581958
"muOfGaussian[12,2]",-73.9045707572319
"muOfGaussian[2,1]",40.7033799433888
"muOfGaussian[2,2]",-73.9347203756083
"muOfGaussian[3,1]",40.7590979165628
"muOfGaussian[3,2]",-73.8754755260007
"muOfGaussian[4,1]",40.6942679259844
"muOfGaussian[4,2]",-73.906552808174
"muOfGaussian[5,1]",40.6864201677071
"muOfGaussian[5,2]",-73.8930060485348
"muOfGaussian[6,1]",40.679752585233
"muOfGaussian[6,2]",-73.9201267235878
"muOfGaussian[7,1]",40.6768461323252
"muOfGaussian[7,2]",-73.9103094299886
"muOfGaussian[8,1]",40.6699060784418
"muOfGaussian[8,2]",-73.9707565174515
"muOfGaussian[9,1]",40.6894418296593
"muOfGaussian[9,2]",-73.9299706743507
"pk[10]",0.0867480517288715
"pk[11]",0.078667997901356
"pk[12]",0.0545830679053985
"pk[1]",0.0660249481984459
"pk[2]",0.0833066579059526
"pk[3]",0.10935720911434
"pk[4]",0.0693046676771589
"pk[5]",0.103780020717338
"pk[6]",0.0945774647565856
"pk[7]",0.0584927288768683
"pk[8]",0.108565637569499
"pk[9]",0.086591547648185
